,NAME_3,price(million)
622,Jiangning,7953073.643499999
623,Jiangpu,10046676.951400004
624,Jiangshan,302721.38129999995
625,Jiangyan,292992.0199999997
626,Jiangyang,160312.45460000006
627,Jiangyin,1913055.9531000003
628,Jiangyou,1017030.3612000006
629,Jiangyuan,23108.1344
630,Jianhe,61305.97149999999
631,Jianhu,796459.9815000012
632,Jianli,379883.17970000015
633,Jianning,16925.658000000003
634,Jianping,129932.48900000002
635,Jianshi,124982.63330000002
636,Jianshui,203687.24420000004
637,Jianyang,290575.63670000003
638,Jiaocheng,56698.36990000001
639,Jiaohe,1632718.389300002
640,Jiaokou,18404.5
641,Jiaoling,73539.71409999998
642,Jiaonan,1018899.2673999999
643,Jiaoxian,5005158.722999994
644,Jiaozuo,531427.5411999997
645,Jiashan,2808117.393399999
646,Jiashi,10298.879599999995
647,Jiaxiang,718834.8499999999
648,Jiaxing,1534687.1511000001
649,Jiayin,82803.32320000001
650,Jiayu,400315.8372
651,Jiayuguan,82092.71379999997
652,Jidong,12694.400000000001
653,Jiedong,173158.06339999998
654,Jieshou,799828.4436999998
655,Jiexi,25275.524100000002
656,Jiexiu,98121.282
657,Jigzhi,204.1
658,Jilin,1359215.3430000006
659,Jimo,1542311.2996999982
660,Jimsar,119436.8354999999
661,Jin,1327213.1992000004
662,Jing,224232.7863
663,Jing'an,236883.21220000004
664,Jingbian,97041.66000000003
665,Jingcheng,337684.1676000001
666,Jingchuan,57470.056
667,Jingde,166724.3226
668,Jingdezhen,500319.6216000001
669,Jingdong Yi,59901.5204
670,Jinggangshan,46157.435000000005
671,Jinggu Dai and Yi,35009.33020000001
672,Jinghai,1275404.8021
673,Jinghe,44664.80359999999
674,Jinghong,420544.5636999995
675,Jingjiang,752278.5314000002
676,Jingjing,34828.388199999994
677,Jingle,19756.650999999998
678,Jingmen,38275.049999999996
679,Jingning,87512.18160000001
680,Jingning She,108434.67090000001
681,Jingshan,368903.98
682,Jingtai,20460.0935
683,Jingxi,194760.853
684,Jingyan,108246.29169999999
685,Jingyang,628922.8198000004
686,Jingyu,41832.255
687,Jingyuan,63778.3684
688,Jingzhou,1621568.9970999996
689,Jinhu,1539642.4804000005
690,Jinhua Shì,1273257.2814999993
